Rider,Qual,Wup,Sprint,Race Pts,Qual Pts,Wup Pts,Sprint Pts
M.Marquez,1,1,1,215,261,270,295
F.Bagnaia,4,5,3,148,169,103,126
A.Marquez,2,2,2,146,195,178,213
M.Bezzecchi,8,3,5,114,85,134,115
F.Morbidelli,5,8,4,102,115,82,96
P.Acosta,7,6,9,97,93,95,90
F.Digiannantoni,6,10,10,91,95,78,116
J.Zarco,9,4,11,89,85,104,62
F.Aldeguer,10,11,8,56,72,75,90
F.Quartararo,3,7,7,55,181,90,96
B.Binder,15,17,12,51,30,39,48
R.Fernandez,14,14,16,50,37,45,38
A.Ogura,17,19,13,49,39,41,40
M.Viñales,11,9,10,46,66,79,63
L.Marini,18,15,18,46,19,44,27
